1,0
1595,2
3,3
2,4
2,5
1,6
1,7
121,8
4592,9
2,10
1944,11
2,12
215,13
5511,14
3872,15
1,16
4418,17
1,18
2,19
20,20
36,21
20,22
1892,23
72,24
4230,25
4379,26
149,27
7,28
6059,29
63,30
739,31
6,32
3,33
2,34
3225,35
1,36
445,37
600,38
71,39
4,40
3,41
4,42
5,43
237,44
236,45
237,46
3,47
9,48
6,49
698,50
1,51
1,52
20,53
244,54
3621,55
1,56
7,57
1,58
2,59
1,60
1,61
1,62
3,63
2,64
50,65
2,66
281,67
6,68
9,69
2798,70
1,71
7,72
834,73
9,74
5,75
3,76
779,77
16,78
7,79
5,80
6,81
11,82
3,83
3,84
2,85
3,86
113,87
148,88
5,89
113,90
110,91
111,92
737,93
176,94
17,95
47,96
905,97
3517,98
5714,99
4658,100
857,101
999,102
40,103
1921,104
124,105
69,106
188,107
1,108
32,109
3115,110
113,111
30,112
3,113
3,114
4,115
18,116
1244,117
156,118
143,119
2314,120
2475,121
38,122
865,123
33,124
1,125
1,126
106,127
13,128
7,129
57,130
107,131
576,132
1,133
1,134
7,135
108,136
55,137
10,138
21,139
177,140
506,141
7,142
8,143
4,144
370,145
107,146
2,147
11,148
1,149
3,150
6,151
3651,152
5,153
4,154
215,155
29,156
10,157
5,158
2,159
4,160
21,161
17,162
6,163
2,164
2,165
11,166
805,167
21,168
70,169
12,170
36,171
653,172
33,173
1,174
91,175
25,176
24,177
240,178
4,179
54,180
6,181
3,182
20,183
171,184
63,185
22,186
135,187
604,188
35,189
585,190
10,191
11,192
34,193
2,194
4,195
2,196
19,197
6,198
173,199
347,200
8,201
9,202
21,203
18,204
35,205
41,206
6,207
6,208
12,209
7,210
5,211
7,212
157,213
51,214
324,215
20,216
5,217
74,218
5,219
14,220
43,221
188,222
577,223
17,224
1087,225
46,226
42,227
23,228
268,229
19,230
21,231
50,232
31,233
8,234
226,235
9,236
279,237
406,238
38,239
4,240
11,241
15,242
15,243
2,244
23,245
132,246
432,247
210,248
14,249
10,250
20,251
10,252
9,253
1,254
26,255
1,256
1,257
25,258
2,259
1,260
31,261
24,262
68,263
1,264
18,265
7,266
384,267
4,268
4,269
3,270
1,271
18,272
2,273
1,274
6,275
1545,276
10,277
1,278
1,279
9,280
1,281
1,282
2,283
3,284
3,285
2,286
406,287
34,288
1,289
1,290
45,291
8,292
101,293
67,294
7,295
3,296
44,297
2,298
49,299
4,300
3,301
1,302
4,303
3,304
21,305
522,306
7,307
